attachment_kind,id,parent_record_id,record_type,review_state,source_anchor,target_locator,target_record_id
nested_exception_item,ibc2018:attachment:d3a841e7569e93ccc7b62453,ibc2018:exception:2240734a4b1810b0c4772bc3,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[83.908,446.196,305.803,459.006],""chapter"":""11"",""line_id"":""poppler-line:3cf4cf1091f9df1159d7"",""observed_text_sha256"":""d3f8faaa877ae80f93c3b6175f3d7a31ce81e8e3abe608e765c3ae519e080924"",""pdf_page"":336,""printed_page"":""309""}",,
nested_exception_item,ibc2018:attachment:9a91c88269687832a3d25246,ibc2018:exception:2240734a4b1810b0c4772bc3,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[83.909,515.869,305.934,528.324],""chapter"":""11"",""line_id"":""poppler-line:3e08a486f180cf4f5c48"",""observed_text_sha256"":""5c6e18d684b8155a8a128145c68c4c4433f4078b3acee411a9cb687d173fd188"",""pdf_page"":336,""printed_page"":""309""}",,
parent_provision,ibc2018:attachment:b881379af64d71200039174c,ibc2018:exception:2240734a4b1810b0c4772bc3,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[72.012,267.699,121.201,285.421],""chapter"":""11"",""line_id"":""poppler-line:4427dbc51e313b95cb2b"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":336,""printed_page"":""309""}",1107.4,
parent_provision,ibc2018:attachment:8c7b28d1a80844fb7de40fb5,ibc2018:exception:d1cf6551c7859fce3eff6175,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[362.011,297.689,571.985,315.412],""chapter"":""11"",""line_id"":""poppler-line:6d7487deeca3b56e0a4a"",""observed_text_sha256"":""f864232d044ee5a5ffb56b810ebbd3bd6cf6bfe96774f2d59b24d7354c80d182"",""pdf_page"":336,""printed_page"":""309""}",1107.5.1.2,
parent_provision,ibc2018:attachment:20d0dc05d1d2dde7843ef1b9,ibc2018:exception:2e34adce87ab30d0a82aba28,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[362.013,465.126,571.932,482.849],""chapter"":""11"",""line_id"":""poppler-line:3b1c06df26e9845c3439"",""observed_text_sha256"":""f864232d044ee5a5ffb56b810ebbd3bd6cf6bfe96774f2d59b24d7354c80d182"",""pdf_page"":336,""printed_page"":""309""}",1107.5.2.2,
parent_provision,ibc2018:attachment:2650318138484ad33cfa66db,ibc2018:exception:91ba9c700e679b8f8cc125c7,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[362.012,585.476,571.776,603.198],""chapter"":""11"",""line_id"":""poppler-line:4f26fd80697b5ad0b582"",""observed_text_sha256"":""944a7ac04740d35b67b86fb4c28b8490e2fa2bae2dea526dfaed0d70e15b424a"",""pdf_page"":336,""printed_page"":""309""}",1107.5.3.1,
parent_provision,ibc2018:attachment:5acc8ed3935168cf8eb6a1a6,ibc2018:exception:17dfd723515f7402f5ff8bba,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[361.958,691.272,571.932,708.995],""chapter"":""11"",""line_id"":""poppler-line:0d856f6ed7939c04d1a4"",""observed_text_sha256"":""f864232d044ee5a5ffb56b810ebbd3bd6cf6bfe96774f2d59b24d7354c80d182"",""pdf_page"":336,""printed_page"":""309""}",1107.5.3.2,
parent_provision,ibc2018:attachment:4d845d89363dba9e00337a81,ibc2018:exception:334056e03b68e4e29170d671,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[341.939,231.677,551.913,249.4],""chapter"":""11"",""line_id"":""poppler-line:441e4ca2323060f84d79"",""observed_text_sha256"":""f864232d044ee5a5ffb56b810ebbd3bd6cf6bfe96774f2d59b24d7354c80d182"",""pdf_page"":337,""printed_page"":""310""}",1107.6.1.2,
parent_provision,ibc2018:attachment:423b3359cc48c14eefa1c8ae,ibc2018:exception:2fe702867033d4a6d78f0372,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[76.064,314.566,285.586,332.288],""chapter"":""11"",""line_id"":""poppler-line:aae431fe75b8fb4752fb"",""observed_text_sha256"":""eac2ce5b26357ee92a08dcd05dc34d86bf99b53b08e8d971c1e58a2016aa006d"",""pdf_page"":337,""printed_page"":""310""}",1107.5.5.2,
parent_provision,ibc2018:attachment:3a9392101d26082c83f6f04f,ibc2018:exception:59245ff25450b0cebb1725d3,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[341.939,372.665,551.913,390.388],""chapter"":""11"",""line_id"":""poppler-line:13323f96d802427d85c0"",""observed_text_sha256"":""f864232d044ee5a5ffb56b810ebbd3bd6cf6bfe96774f2d59b24d7354c80d182"",""pdf_page"":337,""printed_page"":""310""}",1107.6.2.1,
