conflicts_or_alternate_definitions,definition_text_sha256,external_references,id,internal_references,normalized_term,observed_term,record_type,review_state,scope,source_anchor,source_section
[],359f8a30a302b7b3c095188733c4f517eecfbd4fae36a5d828ea9a453fb427c9,[],ibc2018:definition:3d3455e29535532f041241f5,[],WINDER,WINDER,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.002,297.389,254.224,306.444],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""359f8a30a302b7b3c095188733c4f517eecfbd4fae36a5d828ea9a453fb427c9"",""pdf_page"":70,""printed_page"":""43""}",202
[],964fffd0e875c21ed4611b0354471569f8f117f540c57818913e0f2ea11be48b,[],ibc2018:definition:200080bbdacf0d2a7764a3a7,[],WIRE BACKING,WIRE BACKING,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.003,311.444,305.919,342.577],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""964fffd0e875c21ed4611b0354471569f8f117f540c57818913e0f2ea11be48b"",""pdf_page"":70,""printed_page"":""43""}",202
[],89e4ad134ece099482062fa1b07221c88819d00a31d4ba9dfbeb674a6b22f60a,[],ibc2018:definition:f53f1a112753ef15237a4161,[],WIRELESS PROTECTION SYSTEM,WIRELESS PROTECTION SYSTEM,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.002,347.576,306.114,378.599],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""89e4ad134ece099482062fa1b07221c88819d00a31d4ba9dfbeb674a6b22f60a"",""pdf_page"":70,""printed_page"":""43""}",202
[],48bc26ca9656c738869a2b9c83d24f11584ba2a436b4f654b7f935efa3f4661c,[],ibc2018:definition:fa77fadaad0f99faf1fd543b,[],WOOD/PLASTIC COMPOSITE,WOOD/PLASTIC COMPOSITE,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.002,383.708,305.618,414.676],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""48bc26ca9656c738869a2b9c83d24f11584ba2a436b4f654b7f935efa3f4661c"",""pdf_page"":70,""printed_page"":""43""}",202
[],3aa16d4542e369992158c557645ef4794c30d176e35510f48d5bf79dafbdccc5,[],ibc2018:definition:f95b477a01f7529fc968f040,[],WOOD SHEAR PANEL,WOOD SHEAR PANEL,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.002,419.785,305.696,439.797],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""3aa16d4542e369992158c557645ef4794c30d176e35510f48d5bf79dafbdccc5"",""pdf_page"":70,""printed_page"":""43""}",202
[],a3c955b59f137358484b404e75989b6f9061f2cb8308bfd03f783ec19176be04,[],ibc2018:definition:72a0d50dc66feaa45ee24a5d,[],WOOD STRUCTURAL PANEL,WOOD STRUCTURAL PANEL,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.001,444.907,305.974,497.841],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""a3c955b59f137358484b404e75989b6f9061f2cb8308bfd03f783ec19176be04"",""pdf_page"":70,""printed_page"":""43""}",202
[],e9bb90f93f9c0cd00b882366950ca3ae41d5cd9cdabbdf7c24685bb8e3eba2ca,[],ibc2018:definition:1db2ea6c6a4f7adfa04583b2,[],WORKSTATION,WORKSTATION,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[60.056,644.161,306.166,741.251],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""e9bb90f93f9c0cd00b882366950ca3ae41d5cd9cdabbdf7c24685bb8e3eba2ca"",""pdf_page"":70,""printed_page"":""43""}",202
[],6f32fc692ca18bd9929a63c69e76f5ff0a48cae126d66ea3ba5c3d9622489abf,[],ibc2018:definition:5146b2838c366bd825519d57,[],WYTHE,WYTHE,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[326.043,77.661,571.569,97.728],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""6f32fc692ca18bd9929a63c69e76f5ff0a48cae126d66ea3ba5c3d9622489abf"",""pdf_page"":70,""printed_page"":""43""}",202
[],41c7e91a18d920f21debc8efed3714f53ca2e3bd6e87eae7503b6a4f145b5948,[],ibc2018:definition:282a36d753af30fd725a8dfd,[],YARD,YARD,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[326.043,102.647,571.958,144.761],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""41c7e91a18d920f21debc8efed3714f53ca2e3bd6e87eae7503b6a4f145b5948"",""pdf_page"":70,""printed_page"":""43""}",202
[],d19fc49059fb228bae117732010c974816fe95269600a985b127e5b1f62108c9,[],ibc2018:definition:c7e1eb2087321f91fb382a2c,[],ZONE,ZONE,definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[326.043,149.65,572.045,191.684],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""d19fc49059fb228bae117732010c974816fe95269600a985b127e5b1f62108c9"",""pdf_page"":70,""printed_page"":""43""}",202
[],4310552abe0b0bcd7fc80ed3e917dbdcee6415caf4e8cb06d1be40f457ddcfc6,[],ibc2018:definition:53f37272bedfb8d9068dd92c,[],"ZONE, NOTIFICATION","ZONE, NOTIFICATION",definition,verified,code_wide_unless_context_limits,"{""appendix"":null,""bbox"":[326.043,196.682,572.153,227.705],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""4310552abe0b0bcd7fc80ed3e917dbdcee6415caf4e8cb06d1be40f457ddcfc6"",""pdf_page"":70,""printed_page"":""43""}",202
[],8712e79a1e6e900af85b7623c97ef281d8d8e7856d46121993bb36806b99c549,[],ibc2018:definition:896afc986cff2b582373bd54,[],BENCH,BENCH,definition,provisional,appendix_J,"{""appendix"":""J"",""bbox"":[60.006,541.942,305.756,558.391],""chapter"":null,""line_id"":""poppler-line:d663110b32cbffe84155"",""observed_text_sha256"":""8712e79a1e6e900af85b7623c97ef281d8d8e7856d46121993bb36806b99c549"",""pdf_page"":700,""printed_page"":""673""}",J102.1
[],dc400ffc61e758dbe8ce0a420ef88fcb1dbcaf4dbd88848e12d453a14c9a8842,[],ibc2018:definition:de27d9835f0e2f3dc69153d5,[],COMPACTION,COMPACTION,definition,provisional,appendix_J,"{""appendix"":""J"",""bbox"":[60.006,567.949,305.797,584.397],""chapter"":null,""line_id"":""poppler-line:8d81aa71b9d5d8f7eca9"",""observed_text_sha256"":""dc400ffc61e758dbe8ce0a420ef88fcb1dbcaf4dbd88848e12d453a14c9a8842"",""pdf_page"":700,""printed_page"":""673""}",J102.1
[],103cf0a3fad5ece13726d6e62e6d1887f155669a669f7fb5b2374461cec4f9b0,[],ibc2018:definition:e6171ed4b151af09019c1893,[],CUT,CUT,definition,provisional,appendix_J,"{""appendix"":""J"",""bbox"":[60.006,594.01,159.027,610.459],""chapter"":null,""line_id"":""poppler-line:72cb5af7e15340c0a647"",""observed_text_sha256"":""103cf0a3fad5ece13726d6e62e6d1887f155669a669f7fb5b2374461cec4f9b0"",""pdf_page"":700,""printed_page"":""673""}",J102.1
[],9c30e3fd1daa8d0472e220e98d45ee29951c12daaa436e9e8fe292d493098d3b,[],ibc2018:definition:2f4edd823bf5db6e0bccbdba,[],DOWN DRAIN,DOWN DRAIN,definition,provisional,appendix_J,"{""appendix"":""J"",""bbox"":[60.006,609.117,305.833,625.565],""chapter"":null,""line_id"":""poppler-line:21fd34bed8781c9b9e43"",""observed_text_sha256"":""9c30e3fd1daa8d0472e220e98d45ee29951c12daaa436e9e8fe292d493098d3b"",""pdf_page"":700,""printed_page"":""673""}",J102.1
[],4dac06fe3817dc79ab354e359c153d34079c16baa059ea9c68a613608d00bcbe,[],ibc2018:definition:e268aaf61a06b7aab22bdaf8,[],EROSION,EROSION,definition,provisional,appendix_J,"{""appendix"":""J"",""bbox"":[60.006,646.19,305.952,662.638],""chapter"":null,""line_id"":""poppler-line:5c979b7761852cf94a2b"",""observed_text_sha256"":""4dac06fe3817dc79ab354e359c153d34079c16baa059ea9c68a613608d00bcbe"",""pdf_page"":700,""printed_page"":""673""}",J102.1
[],ba4095ae1d13ce1acf1b37ffcb4ff23c441c866012fd9321cc0feabfa24084d6,[],ibc2018:definition:b608c8d7218bb5691f45a1c6,[],EXCAVATION,EXCAVATION,definition,provisional,appendix_J,"{""appendix"":""J"",""bbox"":[60.006,672.251,305.759,688.7],""chapter"":null,""line_id"":""poppler-line:f49a4468f60dc122a765"",""observed_text_sha256"":""ba4095ae1d13ce1acf1b37ffcb4ff23c441c866012fd9321cc0feabfa24084d6"",""pdf_page"":700,""printed_page"":""673""}",J102.1
[],ff385de5780538e9a08e19aa58a04bf80f84f305e8723ef02da05ffebfadae23,[],ibc2018:definition:3a632e173c52751ff92e1786,[],FILL,FILL,definition,provisional,appendix_J,"{""appendix"":""J"",""bbox"":[60.005,698.369,283.399,714.817],""chapter"":null,""line_id"":""poppler-line:ef5a65dad1c1988bd4b9"",""observed_text_sha256"":""ff385de5780538e9a08e19aa58a04bf80f84f305e8723ef02da05ffebfadae23"",""pdf_page"":700,""printed_page"":""673""}",J102.1
