appendix,candidate_source,caption,chapter,classification_reason,disposition,geometry,id,interpretation_confidence,published_identifier,record_type,review_state,semantic_category,source_anchor
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""20103ed8617b2f4bdf1808ad90965200a66faebf92447e8d7a032efe28f1f9a8"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:0d18cd64aac648d48e53a4b1,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[28.75,277.65,32.85,389.85],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""bb10874f5523df220167bd7bfd7d289a2049d84796982b2ede0b0b08ebbe772f"",""pdf_page"":63,""printed_page"":""36""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""7a52de1916d713b311fd42653939cabb43dd9910b3f81827c2957e1c0194de98"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:e7a0558ab4684ac17b24b9fb,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[48.7,547.75,52.75,660.2],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""603135c9753fd13732500ed84def3292ee21de57535a033d3e81749c6c64c4ce"",""pdf_page"":64,""printed_page"":""37""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""b6e4c034fc0f2964baf0602b794ee6c9d684b9fa645254ca329c094340fa64dd"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:7e853cdd9b3d8881ccf8578a,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[579.1,374.5,583.15,475.55],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""d8129f55d40a0773e04cccfddda270f25f267c1232f949cc48e00a1342623f8e"",""pdf_page"":64,""printed_page"":""37""}"
,pdf_vector_paths,,3,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""8eba9d2d3d3fcc65734da832e68deee81d1957f2f6ca55e3335ba00d923ab36c"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:8166482d3caa0aac04140d90,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[48.7,230.95,52.75,550.4],""chapter"":""3"",""line_id"":null,""observed_text_sha256"":""86400cb02e67900dae273079aa1d9a5f07e03f73fd64d3477baf81c3b947145a"",""pdf_page"":72,""printed_page"":""45""}"
,pdf_vector_paths,,3,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""b6d401e68731a08a325b121839e09e3b0e13e40233d9520ef2b3bea6ee894a6e"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:324d8729d3628774e2107055,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[55.4,731.95,572.25,744.7],""chapter"":""3"",""line_id"":null,""observed_text_sha256"":""de123a6ac4fa8c42ede44d7c7fe5967f82ad7169bf5af35e97eaacf8da77e3bc"",""pdf_page"":72,""printed_page"":""45""}"
,pdf_vector_paths,,3,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""fba21b216477e2a6469fdfc705d1d6f3820fc9a7477731b12e807c18df2a1a16"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:eaf9d75ab15dce58e6f4c323,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[59.95,143.15,571.9,144.1],""chapter"":""3"",""line_id"":null,""observed_text_sha256"":""0aa3f26ae2bee15bf76b0142ea69777a8e2a08b329a14a4d6ea7ec3de76c9e3f"",""pdf_page"":72,""printed_page"":""45""}"
,pdf_vector_paths,,3,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":2,""fill_count"":2,""geometry_fingerprint"":""51888636566607dfdb02403631126fef19796a7d33eec623172fea1319b461d3"",""line_count"":0,""rect_count"":2,""stroke_count"":0}",ibc2018:vector-region:df5143c2b0cab4f691f72024,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[59.95,192.7,571.9,196.65],""chapter"":""3"",""line_id"":null,""observed_text_sha256"":""604474cafd06b54c4d74ef8ec58831c5bd71d07d6c3daaa3a96c07308c87331e"",""pdf_page"":72,""printed_page"":""45""}"
,pdf_vector_paths,,3,dense rectangle-only geometry is more consistent with table or background construction,candidate_tabular_or_background_geometry,"{""curve_count"":0,""drawing_count"":25,""fill_count"":25,""geometry_fingerprint"":""c355aca2471c9ef3a4af9c90898a8f812d6a88da516e66a90d66b5f7b843e56c"",""line_count"":0,""rect_count"":25,""stroke_count"":0}",ibc2018:vector-region:fc54e5cc68f8b573cc1afacf,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[39.1,387.95,551.35,723.45],""chapter"":""3"",""line_id"":null,""observed_text_sha256"":""0ce051f9c4ddb359a0418ffe95a5ee320e9f82cd25d876b7f40f342f0b3d6e8e"",""pdf_page"":75,""printed_page"":""48""}"
,pdf_vector_paths,,3,dense rectangle-only geometry is more consistent with table or background construction,candidate_tabular_or_background_geometry,"{""curve_count"":0,""drawing_count"":23,""fill_count"":23,""geometry_fingerprint"":""83caccaabc175026583f7bdb0039a37263d65cf2220dffeb0e947bf74cd420dc"",""line_count"":0,""rect_count"":23,""stroke_count"":0}",ibc2018:vector-region:5a5458b184b17c3c81767fea,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[59.25,96.55,571.75,397.05],""chapter"":""3"",""line_id"":null,""observed_text_sha256"":""2dbd44d645b3c0cb811652b7cf8b3085b55990c4406f49cd85ab0a3cd4f3171b"",""pdf_page"":76,""printed_page"":""49""}"
,pdf_vector_paths,,3,dense rectangle-only geometry is more consistent with table or background construction,candidate_tabular_or_background_geometry,"{""curve_count"":0,""drawing_count"":16,""fill_count"":16,""geometry_fingerprint"":""1b752441e9839b3c0979d65246ab5d166bb44277288be4af6e86e53314692e24"",""line_count"":0,""rect_count"":16,""stroke_count"":0}",ibc2018:vector-region:8e593cb2df08c1a66ddd9d5b,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[39.35,97.15,552.1,204.7],""chapter"":""3"",""line_id"":null,""observed_text_sha256"":""6054f99e23a4b01e765f26002d2ed4aa19f8a5a73f8892e1a4f5de43e73c6309"",""pdf_page"":77,""printed_page"":""50""}"
