id,raw_citation,raw_target,record_type,resolution_notes,resolution_reason,resolution_state,resolved_target,review_state,source_anchor,source_section,target_kind
ibc2018:cross-reference:e8db87466a98b00450d6df74,Sections 1011.5,1011.5,internal_cross_reference,,preserved_resolved_target,resolved,1011.5,provisional,"{""appendix"":null,""bbox"":[60.012,423.736,264.628,436.079],""chapter"":""10"",""line_id"":""poppler-line:59cacae55a44555a9fd1"",""observed_text_sha256"":""b0d6a15bd31015751ca52c1a18bd3735a362a8f17da40f72517dcddd8e1b237c"",""pdf_page"":304,""printed_page"":""277""}",1011.5,section
ibc2018:cross-reference:a99cf1afb874f9006ef4eb50,Section 1011.5,1011.5,internal_cross_reference,,preserved_resolved_target,resolved,1011.5,provisional,"{""appendix"":null,""bbox"":[374.058,547.129,571.768,559.473],""chapter"":""10"",""line_id"":""poppler-line:cf1ed4ef7eae84740344"",""observed_text_sha256"":""1162ab7a24d8de459916298db79a974f20dd3b8cdf8355bf6e143a7437ae45b3"",""pdf_page"":304,""printed_page"":""277""}",1011.5.4,section
ibc2018:cross-reference:6ebe07242a36c0f685328677,Section 1011.5,1011.5,internal_cross_reference,,preserved_resolved_target,resolved,1011.5,provisional,"{""appendix"":null,""bbox"":[374.058,584.313,450.964,596.656],""chapter"":""10"",""line_id"":""poppler-line:f71a7e68ec1b54994f67"",""observed_text_sha256"":""9a47dce5e80e6e724c996e0a1c73db70c83a84a6c61f205434c4818141e55876"",""pdf_page"":304,""printed_page"":""277""}",1011.5.4,section
ibc2018:cross-reference:5c2ae54b70e279734998a676,Section 1029.14,1029.14,internal_cross_reference,,preserved_resolved_target,resolved,1029.14,provisional,"{""appendix"":null,""bbox"":[107.986,683.856,279.956,696.2],""chapter"":""10"",""line_id"":""poppler-line:980524dc6e39fdacbe1e"",""observed_text_sha256"":""d5666bc939384ea613dc93b1356cb732f66d91011c1e43ecbcd3066701277e94"",""pdf_page"":304,""printed_page"":""277""}",1011.5.2,section
ibc2018:cross-reference:489f631dcbdb03065cb6553c,Section 1009.6,1009.6,internal_cross_reference,,preserved_resolved_target,resolved,1009.6,provisional,"{""appendix"":null,""bbox"":[40.1,558.836,285.944,571.647],""chapter"":""10"",""line_id"":""poppler-line:91dbffeaf77ecafb8229"",""observed_text_sha256"":""adb329226718a1c3a020829e3dfac2e5be722cb8adcecdb2a8af2848c2c2911e"",""pdf_page"":305,""printed_page"":""278""}",1011.6,section
ibc2018:cross-reference:1823a227c00336abb54d1d16,Section 1029,1029,internal_cross_reference,,section_heading_prefix,resolved,1029,provisional,"{""appendix"":null,""bbox"":[52.051,628.445,258.213,641.256],""chapter"":""10"",""line_id"":""poppler-line:884612b6cefdcb9bab66"",""observed_text_sha256"":""053e7d7aa61c28f563871ec6ceae627add6d5b28ba1f5c4d54ee06bd9d96c8db"",""pdf_page"":305,""printed_page"":""278""}",1011.6,section
ibc2018:cross-reference:0d0fcbff06972028914fa07f,Section 1014,1014,internal_cross_reference,,section_heading_prefix,resolved,1014,provisional,"{""appendix"":null,""bbox"":[60.013,122.562,305.966,134.906],""chapter"":""10"",""line_id"":""poppler-line:6f99843d021f3b081686"",""observed_text_sha256"":""00902d2841df0d47da1f045bd4e10abad2a461cedf291e8f8817d1d9231c627f"",""pdf_page"":306,""printed_page"":""279""}",1011.11,section
ibc2018:cross-reference:fe36d9171d9ad4e236239b82,Section 1014,1014,internal_cross_reference,,section_heading_prefix,resolved,1014,provisional,"{""appendix"":null,""bbox"":[337.989,123.477,515.816,135.821],""chapter"":""10"",""line_id"":""poppler-line:84bf69dd4fe61b7ed654"",""observed_text_sha256"":""0744e1702e8fd652ff3379e5789c3257944b2b08b6ae21b4a076f9f4c7a5107c"",""pdf_page"":306,""printed_page"":""279""}",1011.14.1,section
ibc2018:cross-reference:b72ffaaf4a65f0760dbe26f1,Section 2407,2407,internal_cross_reference,,section_heading_prefix,resolved,2407,provisional,"{""appendix"":null,""bbox"":[60.013,144.529,149.811,156.873],""chapter"":""10"",""line_id"":""poppler-line:3842fff0362aa1134daf"",""observed_text_sha256"":""ed9e4670a601939e33edd15af950dc4f0ba26375a82ecc08ba854d9ba232e672"",""pdf_page"":306,""printed_page"":""279""}",1011.11,section
ibc2018:cross-reference:0a5fff66cecb798104f797ff,Section 1510.2,1510.2,internal_cross_reference,,preserved_resolved_target,resolved,1510.2,provisional,"{""appendix"":null,""bbox"":[72.02,501.482,225.191,513.826],""chapter"":""10"",""line_id"":""poppler-line:17c176c75de58b6c68bf"",""observed_text_sha256"":""81751e651901f1fb6395b01e62d86aa830217acfddf4273df8af68ce529fd248"",""pdf_page"":306,""printed_page"":""279""}",1011.12.2,section
