candidate_kind,disposition,id,normalized_record_id,parser_confidence,record_type,review_state,source_anchor
table_candidate,accepted,ibc2018:detection:8e2c0f1b0ca7ed4335d47b4b,ibc2018:table:c48bfe8372b48c43c544838d,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[266.6,72.555,324.94,88.012],""chapter"":""7"",""line_id"":""poppler-line:ad3db20d6bd52fc2ce78"",""observed_text_sha256"":""0ca4cd8e55f4a28ca52ccea5cef028c2933d6498f47d823953375b049fedc89b"",""pdf_page"":173,""printed_page"":""146""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:6da3e652e66761239680ab6d,ibc2018:table:c48bfe8372b48c43c544838d,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[263.35,71.355,367.855,86.811],""chapter"":""7"",""line_id"":""poppler-line:6d91f4804be2ee2728c5"",""observed_text_sha256"":""efe1b9f3ee82c197895efdf4648e87b70a0c9569a9feafc3ab6bab6391bfe67d"",""pdf_page"":174,""printed_page"":""147""}"
table_candidate,accepted,ibc2018:detection:8f708b5559cebf0fa76d9d69,ibc2018:table:7f945471436900b5904fe969,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[267.35,474.205,325.747,489.661],""chapter"":""7"",""line_id"":""poppler-line:460f048aa5567e7b9ca5"",""observed_text_sha256"":""d1b846670cc7407a42417636774199e03d008db372b7b96f7a45cd7f46651a6d"",""pdf_page"":177,""printed_page"":""150""}"
table_candidate,accepted,ibc2018:detection:0a3d92c9b03b824009d2300b,ibc2018:table:39a2bc36af5b0c9c5f5c356c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[151.749,356.955,212.8,372.411],""chapter"":""7"",""line_id"":""poppler-line:80486fe66ea4a2d7cace"",""observed_text_sha256"":""c66b2f980b5ed7f8b6e805e602736f3a96ad1c4a442f573c5285e0742d22ecfc"",""pdf_page"":178,""printed_page"":""151""}"
table_candidate,accepted,ibc2018:detection:890c2358ff1dc61e150574d7,ibc2018:table:acbaceb714027e0bbf34f983,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[287.574,72.033,345.835,87.489],""chapter"":""7"",""line_id"":""poppler-line:00aef5ca48ccdfb04438"",""observed_text_sha256"":""787535f48f1775bf98adc61083728e8c95fdb383f8a23ad3b99b4699507ebee6"",""pdf_page"":186,""printed_page"":""159""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:16ba74e5579c684f11b1fa30,ibc2018:table:acbaceb714027e0bbf34f983,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[243.2,70.505,347.682,85.962],""chapter"":""7"",""line_id"":""poppler-line:259e907dd537e18d4b96"",""observed_text_sha256"":""d7cfc8345e22a26c76a3afe3580011cfc68962b80318bce0f561eda9d2d38320"",""pdf_page"":187,""printed_page"":""160""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:84b11043c34e53f48458bfbf,ibc2018:table:acbaceb714027e0bbf34f983,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[264.267,71.41,368.749,86.866],""chapter"":""7"",""line_id"":""poppler-line:404c9338e8385f1f329e"",""observed_text_sha256"":""d7cfc8345e22a26c76a3afe3580011cfc68962b80318bce0f561eda9d2d38320"",""pdf_page"":188,""printed_page"":""161""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:7c342c2131958ec720a74482,ibc2018:table:acbaceb714027e0bbf34f983,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[242.85,71.455,347.332,86.912],""chapter"":""7"",""line_id"":""poppler-line:f776e89fbfa46af32813"",""observed_text_sha256"":""d7cfc8345e22a26c76a3afe3580011cfc68962b80318bce0f561eda9d2d38320"",""pdf_page"":189,""printed_page"":""162""}"
table_candidate,accepted,ibc2018:detection:7dc74309980beb5bc62ed2bd,ibc2018:table:4e0b42c6a58c2c90f421479c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[286.725,71.75,345.122,87.206],""chapter"":""7"",""line_id"":""poppler-line:c5b87c0bf23ac2e31188"",""observed_text_sha256"":""bcc3a0bf2dbfb7fed31e52ef435b37f6a6c6b80a7b0ae97a25edb0385291f86c"",""pdf_page"":190,""printed_page"":""163""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:8b079f6ac4743ce05b9e0b3e,ibc2018:table:4e0b42c6a58c2c90f421479c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[242.85,71.355,347.355,86.812],""chapter"":""7"",""line_id"":""poppler-line:a0fc45dfe67474419bac"",""observed_text_sha256"":""ef8b008da7b536d3872b16a26affc653d6adc659ea9da5d12e25f282a83e8cd0"",""pdf_page"":191,""printed_page"":""164""}"
